RAM,1024,4,1,rdtsc,0.000014,0.000009,111815003654530.078125,0.000009,102.926232,0.000010,0.000010,105278169306072.265625,0.000001,7.412321
RAM,1024,4,2,rdtsc,0.000009,0.000009,111815003654530.078125,0.000009,102.926232,0.000010,0.000010,105278169306072.265625,0.000001,7.412321
RAM,1024,4,3,rdtsc,0.000009,0.000009,111815003654530.078125,0.000009,102.926232,0.000010,0.000010,105278169306072.265625,0.000001,7.412321
RAM,1024,4,4,rdtsc,0.000009,0.000009,111815003654530.078125,0.000009,102.926232,0.000010,0.000010,105278169306072.265625,0.000001,7.412321
RAM,1024,4,5,rdtsc,0.000009,0.000009,111815003654530.078125,0.000009,102.926232,0.000010,0.000010,105278169306072.265625,0.000001,7.412321
RAM,1024,4,6,rdtsc,0.000009,0.000009,111815003654530.078125,0.000009,102.926232,0.000010,0.000010,105278169306072.265625,0.000001,7.412321
RAM,1024,4,7,rdtsc,0.000009,0.000009,111815003654530.078125,0.000009,102.926232,0.000010,0.000010,105278169306072.265625,0.000001,7.412321
RAM,1024,4,8,rdtsc,0.000009,0.000009,111815003654530.078125,0.000009,102.926232,0.000010,0.000010,105278169306072.265625,0.000001,7.412321
RAM,1024,4,9,rdtsc,0.000009,0.000009,111815003654530.078125,0.000009,102.926232,0.000010,0.000010,105278169306072.265625,0.000001,7.412321
RAM,1024,4,10,rdtsc,0.000009,0.000009,111815003654530.078125,0.000009,102.926232,0.000010,0.000010,105278169306072.265625,0.000001,7.412321
RAM,1024,4,11,rdtsc,0.000009,0.000009,111815003654530.078125,0.000009,102.926232,0.000010,0.000010,105278169306072.265625,0.000001,7.412321
RAM,1024,4,12,rdtsc,0.000009,0.000009,111815003654530.078125,0.000009,102.926232,0.000010,0.000010,105278169306072.265625,0.000001,7.412321
RAM,1024,4,13,rdtsc,0.000009,0.000009,111815003654530.078125,0.000009,102.926232,0.000010,0.000010,105278169306072.265625,0.000001,7.412321
RAM,1024,4,14,rdtsc,0.000009,0.000009,111815003654530.078125,0.000009,102.926232,0.000010,0.000010,105278169306072.265625,0.000001,7.412321
RAM,1024,4,15,rdtsc,0.000009,0.000009,111815003654530.078125,0.000009,102.926232,0.000010,0.000010,105278169306072.265625,0.000001,7.412321
RAM,1024,4,16,rdtsc,0.000009,0.000009,111815003654530.078125,0.000009,102.926232,0.000010,0.000010,105278169306072.265625,0.000001,7.412321
RAM,1024,4,17,rdtsc,0.000009,0.000009,111815003654530.078125,0.000009,102.926232,0.000010,0.000010,105278169306072.265625,0.000001,7.412321
RAM,1024,4,18,rdtsc,0.000009,0.000009,111815003654530.078125,0.000009,102.926232,0.000010,0.000010,105278169306072.265625,0.000001,7.412321
RAM,1024,4,19,rdtsc,0.000009,0.000009,111815003654530.078125,0.000009,102.926232,0.000010,0.000010,105278169306072.265625,0.000001,7.412321
RAM,1024,4,20,rdtsc,0.000009,0.000009,111815003654530.078125,0.000009,102.926232,0.000010,0.000010,105278169306072.265625,0.000001,7.412321
RAM,1024,4,21,rdtsc,0.000009,0.000009,111815003654530.078125,0.000009,102.926232,0.000010,0.000010,105278169306072.265625,0.000001,7.412321
RAM,1024,4,22,rdtsc,0.000009,0.000009,111815003654530.078125,0.000009,102.926232,0.000010,0.000010,105278169306072.265625,0.000001,7.412321
RAM,1024,4,23,rdtsc,0.000009,0.000009,111815003654530.078125,0.000009,102.926232,0.000010,0.000010,105278169306072.265625,0.000001,7.412321
RAM,1024,4,24,rdtsc,0.000009,0.000009,111815003654530.078125,0.000009,102.926232,0.000010,0.000010,105278169306072.265625,0.000001,7.412321
RAM,1024,4,25,rdtsc,0.000009,0.000009,111815003654530.078125,0.000009,102.926232,0.000010,0.000010,105278169306072.265625,0.000001,7.412321
RAM,1024,4,26,rdtsc,0.000009,0.000009,111815003654530.078125,0.000009,102.926232,0.000010,0.000010,105278169306072.265625,0.000001,7.412321
RAM,1024,4,27,rdtsc,0.000009,0.000009,111815003654530.078125,0.000009,102.926232,0.000010,0.000010,105278169306072.265625,0.000001,7.412321
RAM,1024,4,28,rdtsc,0.000009,0.000009,111815003654530.078125,0.000009,102.926232,0.000010,0.000010,105278169306072.265625,0.000001,7.412321
RAM,1024,4,29,rdtsc,0.000009,0.000009,111815003654530.078125,0.000009,102.926232,0.000010,0.000010,105278169306072.265625,0.000001,7.412321
RAM,1024,4,30,rdtsc,0.000009,0.000009,111815003654530.078125,0.000009,102.926232,0.000010,0.000010,105278169306072.265625,0.000001,7.412321
RAM,1024,4,31,rdtsc,0.000009,0.000009,111815003654530.078125,0.000009,102.926232,0.000010,0.000010,105278169306072.265625,0.000001,7.412321
RAM,1024,4,32,rdtsc,0.000009,0.000009,111815003654530.078125,0.000009,102.926232,0.000010,0.000010,105278169306072.265625,0.000001,7.412321
RAM,1024,4,33,rdtsc,0.000009,0.000009,111815003654530.078125,0.000009,102.926232,0.000010,0.000010,105278169306072.265625,0.000001,7.412321
RAM,1024,4,34,rdtsc,0.000009,0.000009,111815003654530.078125,0.000009,102.926232,0.000010,0.000010,105278169306072.265625,0.000001,7.412321
RAM,1024,4,35,rdtsc,0.000009,0.000009,111815003654530.078125,0.000009,102.926232,0.000010,0.000010,105278169306072.265625,0.000001,7.412321
RAM,1024,4,36,rdtsc,0.000009,0.000009,111815003654530.078125,0.000009,102.926232,0.000010,0.000010,105278169306072.265625,0.000001,7.412321
RAM,1024,4,37,rdtsc,0.000009,0.000009,111815003654530.078125,0.000009,102.926232,0.000010,0.000010,105278169306072.265625,0.000001,7.412321
